"Date","Price","Open","High","Low","Vol.","Change %"
"10/30/2025","22,154.45","22,237.15","22,237.70","22,071.15","","-0.16%"
"10/29/2025","22,190.50","22,090.10","22,212.25","22,032.30","","0.58%"
"10/28/2025","22,063.00","22,103.55","22,126.40","21,982.85","","-0.01%"
"10/27/2025","22,064.65","21,960.80","22,073.40","21,930.30","","0.79%"
"10/24/2025","21,890.90","21,984.90","22,040.00","21,830.95","","-0.22%"
"10/23/2025","21,940.05","22,064.55","22,100.65","21,907.35","","-0.15%"
"10/21/2025","21,972.05","22,015.85","22,039.45","21,943.35","","0.22%"
"10/20/2025","21,924.85","21,877.10","21,969.65","21,852.50","","0.65%"
"10/17/2025","21,782.80","21,916.15","21,918.45","21,723.70","","-0.54%"
"10/16/2025","21,900.90","21,861.10","21,930.20","21,806.00","","0.48%"
"10/15/2025","21,796.50","21,649.30","21,826.50","21,631.05","","0.93%"
"10/14/2025","21,595.95","21,813.40","21,842.30","21,564.10","","-0.69%"
"10/13/2025","21,746.75","21,676.60","21,761.20","21,608.05","","0.01%"
"10/10/2025","21,743.95","21,681.90","21,790.60","21,637.10","","0.41%"
"10/09/2025","21,655.90","21,523.25","21,664.70","21,492.05","","0.83%"
"10/08/2025","21,477.85","21,639.15","21,684.75","21,453.05","","-0.73%"
"10/07/2025","21,635.90","21,589.60","21,649.85","21,543.55","","0.39%"
"10/06/2025","21,551.05","21,424.75","21,561.30","21,369.75","","0.70%"
"10/03/2025","21,400.30","21,256.65","21,413.20","21,221.75","","0.85%"
"10/01/2025","21,220.45","21,055.55","21,237.00","21,002.40","","0.86%"
"09/30/2025","21,038.70","21,083.90","21,104.30","20,913.10","","0.09%"
"09/29/2025","21,020.00","21,037.55","21,149.65","20,944.65","","0.25%"
"09/26/2025","20,967.75","21,334.15","21,353.30","20,951.45","","-1.94%"
"09/25/2025","21,381.50","21,536.05","21,620.75","21,353.60","","-0.66%"
"09/24/2025","21,523.35","21,715.70","21,732.40","21,504.05","","-0.88%"
"09/23/2025","21,713.60","21,809.40","21,828.95","21,638.55","","-0.29%"
"09/22/2025","21,777.50","21,867.90","21,943.95","21,723.45","","-0.56%"
"09/19/2025","21,900.60","21,920.55","21,955.15","21,882.40","","0.01%"
"09/18/2025","21,898.80","21,899.45","21,914.40","21,783.95","","0.31%"
"09/17/2025","21,831.05","21,858.55","21,890.00","21,778.55","","0.18%"
"09/16/2025","21,791.15","21,697.45","21,805.75","21,643.15","","0.62%"
"09/15/2025","21,657.40","21,603.10","21,676.55","21,562.30","","0.42%"
"09/12/2025","21,567.20","21,580.60","21,610.70","21,540.80","","0.28%"
"09/11/2025","21,507.75","21,532.55","21,572.10","21,476.25","","0.04%"
"09/10/2025","21,498.35","21,402.20","21,513.95","21,394.10","","0.95%"
"09/09/2025","21,295.90","21,299.20","21,320.30","21,213.70","","0.20%"
"09/08/2025","21,254.10","21,241.00","21,348.95","21,164.85","","0.38%"
"09/05/2025","21,172.65","21,224.40","21,310.80","21,066.30","","0.07%"
"09/04/2025","21,157.95","21,524.50","21,524.50","21,130.90","","-0.63%"
"09/03/2025","21,292.25","21,194.30","21,305.15","21,155.25","","0.67%"
"09/02/2025","21,149.70","21,183.70","21,247.25","21,049.35","","0.18%"
"09/01/2025","21,111.85","20,816.20","21,122.50","20,812.40","","1.74%"
"08/29/2025","20,750.30","20,860.55","20,949.45","20,726.90","","-0.55%"
"08/28/2025","20,864.75","21,119.80","21,119.80","20,848.70","","-1.21%"
"08/26/2025","21,119.30","21,366.15","21,402.50","21,074.55","","-1.46%"
"08/25/2025","21,432.30","21,515.75","21,547.15","21,419.25","","-0.03%"
"08/22/2025","21,438.20","21,492.40","21,532.00","21,418.95","","-0.18%"
"08/21/2025","21,476.20","21,633.20","21,661.90","21,467.15","","-0.42%"
"08/20/2025","21,566.10","21,482.00","21,590.65","21,429.40","","0.46%"
"08/19/2025","21,466.85","21,317.55","21,475.85","21,207.25","","0.94%"
"08/18/2025","21,267.05","21,249.35","21,378.20","21,217.25","","1.19%"
"08/14/2025","21,017.05","21,120.75","21,160.95","20,964.85","","-0.24%"
"08/13/2025","21,067.30","21,023.20","21,110.30","20,998.75","","0.63%"
"08/12/2025","20,935.20","21,013.85","21,052.60","20,917.90","","-0.23%"
"08/11/2025","20,983.80","20,840.45","21,015.35","20,768.25","","0.65%"
"08/08/2025","20,848.25","21,202.70","21,203.20","20,813.05","","-1.44%"
"08/07/2025","21,152.10","20,997.65","21,183.20","20,829.50","","0.26%"
"08/06/2025","21,096.65","21,338.05","21,340.75","21,010.75","","-0.90%"
"08/05/2025","21,288.85","21,346.40","21,387.65","21,207.10","","-0.19%"
"08/04/2025","21,329.40","21,095.60","21,345.20","21,047.15","","1.14%"
"08/01/2025","21,088.65","21,381.70","21,409.80","21,060.05","","-1.28%"
"07/31/2025","21,361.30","21,287.55","21,483.00","21,250.05","","-0.83%"
"07/30/2025","21,540.25","21,544.40","21,572.50","21,446.90","","0.18%"
"07/29/2025","21,501.00","21,284.95","21,521.60","21,257.40","","0.87%"
"07/28/2025","21,314.85","21,468.05","21,648.35","21,276.60","","-0.87%"
"07/25/2025","21,501.60","21,812.05","21,821.05","21,479.90","","-1.62%"
"07/24/2025","21,856.15","21,956.85","21,959.90","21,813.05","","-0.42%"
"07/23/2025","21,949.25","21,925.60","21,957.60","21,789.00","","0.30%"
"07/22/2025","21,884.05","22,058.60","22,062.35","21,863.50","","-0.51%"
